Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-24 08-PM,ETHUSD,825,825,808.37,811.06,5187.31,4221470.36
2018-02-24 07-PM,ETHUSD,820.73,828.17,818.1,825,1845.41,1520375.18
2018-02-24 06-PM,ETHUSD,825.01,834,820,820.73,3284.56,2708891.02
2018-02-24 05-PM,ETHUSD,836.51,836.51,821.51,825.01,2808.25,2324636.34
2018-02-24 04-PM,ETHUSD,831.78,839.44,825.61,836.51,2455.26,2041050.53
2018-02-24 03-PM,ETHUSD,836.74,841.95,828.68,831.78,2257.43,1883453.37
2018-02-24 02-PM,ETHUSD,833.88,845.74,830.02,836.74,1911.63,1605195.35
2018-02-24 01-PM,ETHUSD,838.95,838.96,825.05,833.88,2445.27,2032922.43
2018-02-24 12-PM,ETHUSD,831.49,841.6,827,838.95,3540.24,2949597.48
2018-02-24 11-AM,ETHUSD,825.66,835.19,820.01,831.49,1772.38,1466556.79
2018-02-24 10-AM,ETHUSD,845.05,845.05,820.08,825.66,5978.2,4948997.84
2018-02-24 09-AM,ETHUSD,839.23,850,839.23,845.05,927.93,785133.54
2018-02-24 08-AM,ETHUSD,847.72,847.72,837.36,839.23,1058.73,891269.68
2018-02-24 07-AM,ETHUSD,850.01,850.01,836.95,847.72,3696.69,3111912.37
2018-02-24 06-AM,ETHUSD,869.91,869.91,844.71,850.01,4390.23,3753482.51
2018-02-24 05-AM,ETHUSD,865,871.52,862.28,869.91,1843.35,1598964.87
2018-02-24 04-AM,ETHUSD,865.13,871.51,862.42,865,2718.25,2359081.97
2018-02-24 03-AM,ETHUSD,872,872,859.94,865.13,3112.69,2690280.17
2018-02-24 02-AM,ETHUSD,867.89,874.66,867,872,2752.42,2396734.99
2018-02-24 01-AM,ETHUSD,865.99,867.89,859.09,867.89,1797.55,1552829.77
2018-02-24 12-AM,ETHUSD,854.01,867.89,848.56,865.99,2711.31,2335425.17
2018-02-23 11-PM,ETHUSD,852.34,859.64,848.49,854.01,2749.4,2349504.35
2018-02-23 10-PM,ETHUSD,833.92,852.34,833.6,852.34,4510.9,3789571.44
2018-02-23 09-PM,ETHUSD,837,844.29,830.82,833.92,3176.16,2659540.49
2018-02-23 08-PM,ETHUSD,838.3,838.3,826.71,837,4317.56,3590000.14
2018-02-23 07-PM,ETHUSD,852.58,854,835.99,838.3,2916.02,2465696.44
2018-02-23 06-PM,ETHUSD,847.24,859.79,845.06,852.58,3506.51,2995833
2018-02-23 05-PM,ETHUSD,844.44,847.93,843,847.24,3197.08,2700827.85
2018-02-23 04-PM,ETHUSD,865.84,866.71,843.21,844.44,5502.75,4692463.4
2018-02-23 03-PM,ETHUSD,868.9,877.5,862.38,865.84,3811.87,3315313.87
2018-02-23 02-PM,ETHUSD,869.99,883,868.57,868.9,4886.67,4284323.82
2018-02-23 01-PM,ETHUSD,870.99,873.06,865.43,869.99,2698.34,2349163.52
2018-02-23 12-PM,ETHUSD,872.84,875,861.9,870.99,4361.01,3789326.11
2018-02-23 11-AM,ETHUSD,853.85,874.22,853.84,872.84,3920.61,3395997.65
2018-02-23 10-AM,ETHUSD,854.74,861.87,851.48,853.85,2009.44,1722348.84
2018-02-23 09-AM,ETHUSD,848,863.99,847.58,854.74,3004.62,2570385.42
2018-02-23 08-AM,ETHUSD,838.96,849.56,838.96,848,2119.11,1793722.03
2018-02-23 07-AM,ETHUSD,827.48,838.97,827.48,838.96,1779.82,1485087.73
2018-02-23 06-AM,ETHUSD,827.21,829.78,816.78,827.48,5224.07,4301373.99
2018-02-23 05-AM,ETHUSD,835.01,845.48,827.21,827.21,5619.92,4716157.61
2018-02-23 04-AM,ETHUSD,835.09,848.24,828.71,835.01,7674.68,6445206.65
